Words ,ID,Meaning,Similarity,ID,Meaning
aaNu,f7ec48ae-43cc-4258-904a-a69c85705f19,is/am/are,aana,7c4a8f3e-9b2d-4e1a-8c5f-6d3e2a1b9c8d,Elephant
ithu,595ae022-4413-4371-92a4-a8df5773203b,this,athu,43847693-3593-46c3-9a02-25a5363c22bf,that
ente,c93b83c4-da8b-431b-93ef-af20ec1e83a3,my/mine,enthu,f63ca11a-3259-4aab-bad7-d3b349201512,what
Enikku,2675be2b-8553-4e25-ad38-371ac0b6abd3,I,ENeekku,9d5b7e2c-4a3f-4d6b-9e8a-5f4c3d2e1a0b,Imperative form of wake up in Malayalam. Wake up = ENeekkuka
Peru,aa03b3e9-71f8-468d-b832-b3fc0bfb2b3b,Name,PeRu,9f8e7d6f-5e4d-4a3f-2b1c-0d9e8f7d6e5f,Delivering baby
padikkuka,c7a81809-ec64-4548-8549-c99bc488a3af,to study,pattikkuka,2a1b0c9d-8e7f-4d6c-5e4d-3f2e1a0b9c8d,To deceive someone
Ethu,0d98e3a5-08a3-4651-9e71-cddfec8f0da8,which ,Enthu,f63ca11a-3259-4aab-bad7-d3b349201512,what
Ura,4e3f2a1b-0c9d-4e8f-7d6e-5f4d3e2a1b0c,Scrub/Rub,URa,6e5f4d3e-2a1b-4c0d-9e8f-7d6e5f4d3e2a,Case(as in pillowcase)/Sheath
kazhikkuka,c575b8f7-1d2a-46bb-8aaf-d67a5999a614,to eat,Karikkuka,3e8a6f4d-2c5b-4e9a-8d7f-6e5c4d3a2b1c,to char
kaaraNam,38b5ad6e-2a6b-4889-9521-0a9ff77ae743,Reason,karaNam,8e7f6d5e-4f3a-4b2c-1d0e-9f8e7d6f5e4d,cheek
pani,5c4d3e2f-1a9b-4c8d-7e6f-5d4e3f2a1b0c,fever,paNi,0c9d8e7f-6d5e-4f4a-3b2c-1d0e9f8e7d6f,work
palli,8d7e6f5c-4b3a-4e2d-9c1f-8d7e6f5c4d3e,lizard,paLLi,5d4e3f2a-1b0c-4d9e-8f7d-6e5f4d3e2a1b,church
thuNi,9c8d7e6f-5d4e-4f3a-2b1c-0a9b8c7d6e5f,cloth,thunni,7d6e5f4c-3d2e-4a1b-0c9d-8e7f6d5e4f3a,sew(past)
palam,6f9d8e7c-5b4a-4d3e-8c2f-7d6e5a4b3c2d,bridge,paLam,3f2e1a0b-9c8d-4e7f-6d5e-4f3a2b1c0d9e,Track/Rail
